//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	     10000	      2110	      1112
       100	     10000	      1739	       417
      1000	     10000	       212	      1041
        10	     20000	       366	       574
       100	     20000	       358	       483
      1000	     20000	       568	       667
     10000	     20000	       319	      3202
        10	     30000	       504	       222
       100	     30000	       853	       284
      1000	     30000	       379	       295
     10000	     30000	      3252	       481
        10	     40000	       555	       345
       100	     40000	      1165	      4115
      1000	     40000	       693	       355
     10000	     40000	       737	      1863
        10	     50000	       976	       435
       100	     50000	       655	      2707
      1000	     50000	       909	       446
     10000	     50000	       844	      3602
        10	     60000	       776	      1179
       100	     60000	       773	       523
      1000	     60000	      1171	       762
     10000	     60000	      1788	      1098
        10	     70000	      1381	       613
       100	     70000	       869	       629
      1000	     70000	       921	       638
     10000	     70000	       913	       644
        10	     80000	      1047	      1375
       100	     80000	      1017	      2027
      1000	     80000	      1050	       894
     10000	     80000	      1526	       989
        10	     90000	       773	       635
       100	     90000	       984	       587
      1000	     90000	       883	       645
     10000	     90000	       772	       672
        10	    100000	      1133	       664
       100	    100000	       881	       638
      1000	    100000	      1301	       742
     10000	    100000	      1301	       769
        10	    110000	       987	       972
       100	    110000	      1019	      1571
      1000	    110000	      1362	       991
     10000	    110000	      1260	      1086
        10	    120000	      2258	      1033
       100	    120000	      1493	      1051
      1000	    120000	      1584	      1056
     10000	    120000	      1948	       946
        10	    130000	      1576	       960
       100	    130000	      2419	      1511
      1000	    130000	      4488	      1154
     10000	    130000	      1852	      2576
        10	    140000	      1195	       988
       100	    140000	      1988	      1236
      1000	    140000	      1568	       908
     10000	    140000	      1775	       951
        10	    150000	      1238	      1004
       100	    150000	      1247	       965
      1000	    150000	      1279	       989
     10000	    150000	      1429	      1003
        10	    160000	      3913	      1048
       100	    160000	      1633	      1059
      1000	    160000	      2415	      1252
     10000	    160000	      7876	      1763
        10	    170000	      1580	      1849
       100	    170000	      2750	      1340
      1000	    170000	      1470	      2014
     10000	    170000	      1523	      1146
        10	    180000	      1624	      1336
       100	    180000	      1472	      1410
      1000	    180000	      1872	      1231
     10000	    180000	      1900	      1136
        10	    190000	      1929	      1153
       100	    190000	      1698	      2035
      1000	    190000	      1700	      1225
     10000	    190000	      1588	      1493
        10	    200000	      1721	      1497
       100	    200000	      1850	      1759
      1000	    200000	      2033	      1587
     10000	    200000	      2361	      1635
    100000	    200000	      2516	      2585
        10	    210000	      2657	      1367
       100	    210000	      2498	      1308
      1000	    210000	      1941	      1329
     10000	    210000	      1860	      1431
    100000	    210000	      2077	      4764
        10	    220000	      1791	      1366
       100	    220000	      2082	      1412
      1000	    220000	      1864	      1339
     10000	    220000	      2050	      1306
    100000	    220000	      2346	      2182
        10	    230000	      2468	      1691
       100	    230000	      1822	      2511
      1000	    230000	      3243	      1607
     10000	    230000	      2689	      1679
    100000	    230000	      3374	      1840
        10	    240000	      1917	      1486
       100	    240000	      1915	      1471
      1000	    240000	      2122	      1467
     10000	    240000	      2239	      1830
    100000	    240000	      2546	      1973
        10	    250000	      2195	      1540
       100	    250000	      2032	      1505
      1000	    250000	      2154	      1549
     10000	    250000	      2051	      1473
    100000	    250000	      2392	      4133
        10	    260000	      2136	      1591
       100	    260000	      2087	      1614
      1000	    260000	      2839	      1543
     10000	    260000	      2264	      1637
    100000	    260000	      2371	      1654
        10	    270000	      2208	      1632
       100	    270000	      2158	      1644
      1000	    270000	      2180	      1772
     10000	    270000	      2237	      1540
    100000	    270000	      2543	      2208
        10	    280000	      2243	      1726
       100	    280000	      2499	      1760
      1000	    280000	      2485	      1754
     10000	    280000	      2334	      2209
    100000	    280000	      2604	      1791
        10	    290000	      2335	      2012
       100	    290000	      2273	      1791
      1000	    290000	      2313	      1765
     10000	    290000	      2641	      1917
    100000	    290000	      3431	      3009
        10	    300000	      2585	      3468
       100	    300000	      2590	      1886
      1000	    300000	      2404	      1819
     10000	    300000	      3961	      2968
    100000	    300000	      3505	      2414
        10	    310000	      2651	      1932
       100	    310000	      2449	      1852
      1000	    310000	      4558	      1870
     10000	    310000	      2517	      1768
    100000	    310000	      2915	      1802
        10	    320000	      2863	      2001
       100	    320000	      3294	      1936
      1000	    320000	      2600	      2140
     10000	    320000	      2664	      1862
    100000	    320000	      2961	      2256
