//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	    330000	      2753	      2019
       100	    330000	      2621	      2071
      1000	    330000	      2646	      2033
     10000	    330000	      2938	      2264
    100000	    330000	      3366	      2398
        10	    340000	      2931	      2240
       100	    340000	      2893	      2270
      1000	    340000	      2810	      2393
     10000	    340000	      2960	      2087
    100000	    340000	      3369	      2325
        10	    350000	      3074	      2196
       100	    350000	      2944	      2392
      1000	    350000	      4078	      2152
     10000	    350000	      2857	      2284
    100000	    350000	      4975	      3584
        10	    360000	      3946	      2300
       100	    360000	      2961	      2678
      1000	    360000	      2923	      2531
     10000	    360000	      4079	      2227
    100000	    360000	      3534	      2322
        10	    370000	      3224	      2224
       100	    370000	      3667	      2297
      1000	    370000	      3172	      2206
     10000	    370000	      4609	      2298
    100000	    370000	      3445	      2166
        10	    380000	      3056	      2668
       100	    380000	      3108	      2388
      1000	    380000	      3206	      2295
     10000	    380000	      3166	      2551
    100000	    380000	      3871	      2171
        10	    390000	      3346	      2414
       100	    390000	      3622	      2444
      1000	    390000	      5138	      2732
     10000	    390000	      3145	      2327
    100000	    390000	      4651	      2081
        10	    400000	      4214	      3289
       100	    400000	      4386	      3286
      1000	    400000	      3666	      2765
     10000	    400000	      3290	      3513
    100000	    400000	      4255	      5592
        10	    410000	      4490	      2648
       100	    410000	      3913	      2564
      1000	    410000	      3457	      3266
     10000	    410000	      3734	      3042
    100000	    410000	      4063	      4043
        10	    420000	      5543	      4077
       100	    420000	      5275	      3525
      1000	    420000	      4028	      2636
     10000	    420000	      3410	      2813
    100000	    420000	      4186	      2507
        10	    430000	      3712	      2663
       100	    430000	      3693	      3131
      1000	    430000	      3860	      2995
     10000	    430000	      3603	      2468
    100000	    430000	      6741	      2198
        10	    440000	      5151	      3774
       100	    440000	      3729	      2984
      1000	    440000	      4894	      2936
     10000	    440000	     10686	      2626
    100000	    440000	      5185	      3732
        10	    450000	      3571	      2775
       100	    450000	      3677	      3022
      1000	    450000	      3606	      3552
     10000	    450000	      4381	      2592
    100000	    450000	      4167	      2502
        10	    460000	      3760	      2832
       100	    460000	      3811	      3466
      1000	    460000	      4608	      3006
     10000	    460000	      3743	      2577
    100000	    460000	      4272	      4329
        10	    470000	      3907	      3641
       100	    470000	      3921	      3078
      1000	    470000	      3802	      2983
     10000	    470000	      3794	      2743
    100000	    470000	      4468	      3903
        10	    480000	      4045	      3604
       100	    480000	      3909	      3021
      1000	    480000	      3899	      4246
     10000	    480000	      4160	      2800
    100000	    480000	      5313	      2333
        10	    490000	      3988	      3685
       100	    490000	      6805	      3027
      1000	    490000	      3894	      3040
     10000	    490000	      3967	      2829
    100000	    490000	      6483	      2399
        10	    500000	      4851	      3383
       100	    500000	      5972	      3218
      1000	    500000	      4814	      3253
     10000	    500000	      4327	      3316
    100000	    500000	      5590	      2589
        10	    510000	      4528	      3620
       100	    510000	      4317	      5056
      1000	    510000	      4225	      3089
     10000	    510000	      4146	      4050
    100000	    510000	      7483	      3898
        10	    520000	      4194	      3694
       100	    520000	      4307	      3504
      1000	    520000	      4267	      3130
     10000	    520000	      4293	      4211
    100000	    520000	      5909	      3049
        10	    530000	      4237	      3431
       100	    530000	      7094	      3358
      1000	    530000	      4284	      3558
     10000	    530000	      4232	      3214
    100000	    530000	      4999	      3008
        10	    540000	      4880	      3575
       100	    540000	      4409	      4366
      1000	    540000	      4761	      4352
     10000	    540000	      5131	      3328
    100000	    540000	      5177	      3766
        10	    550000	      4896	      3537
       100	    550000	      5083	      3442
      1000	    550000	      6231	      3576
     10000	    550000	      6280	      3436
    100000	    550000	      7559	      2987
        10	    560000	      4924	      4850
       100	    560000	      7607	      4788
      1000	    560000	      5528	      4633
     10000	    560000	      6373	      4081
    100000	    560000	      7759	      3792
        10	    570000	      6841	      4084
       100	    570000	      7812	      4741
      1000	    570000	      6153	      5230
     10000	    570000	      6103	      5570
    100000	    570000	      8837	      2631
        10	    580000	      4605	      5398
       100	    580000	      4661	      5245
      1000	    580000	      4741	      4502
     10000	    580000	      4786	      5583
    100000	    580000	      5533	      2702
        10	    590000	      4810	      4979
       100	    590000	      4676	      4357
      1000	    590000	      4776	      3534
     10000	    590000	      4991	      4869
    100000	    590000	      6240	      2745
        10	    600000	      5024	      3679
       100	    600000	      4797	      3622
      1000	    600000	      4805	      3584
     10000	    600000	      4960	      3345
    100000	    600000	      5592	      2709
        10	    610000	      4837	      3981
       100	    610000	      7236	      3861
      1000	    610000	      6936	      3941
     10000	    610000	      5399	      3434
    100000	    610000	      6497	      2721
        10	    620000	      5594	      3777
       100	    620000	      5280	      3756
      1000	    620000	      5057	      5073
     10000	    620000	      5045	      4124
    100000	    620000	      6907	      2900
        10	    630000	      5133	      4980
       100	    630000	      5818	      5623
      1000	    630000	      5422	      5110
     10000	    630000	      5185	      5133
    100000	    630000	      8299	      4758
        10	    640000	      7682	      3951
       100	    640000	      6878	      5955
      1000	    640000	      6905	      5425
     10000	    640000	      6496	      5594
    100000	    640000	      6923	      3870
        10	    650000	      7186	      6156
       100	    650000	      8414	      4923
      1000	    650000	      6434	      5387
     10000	    650000	      7422	      6739
    100000	    650000	      8010	      3779
        10	    660000	      5921	      4385
       100	    660000	      7913	      4307
      1000	    660000	      5356	      4133
     10000	    660000	      5772	      3784
    100000	    660000	      7241	      3060
        10	    670000	      8028	      6003
       100	    670000	      7071	      6250
      1000	    670000	      6676	      4082
     10000	    670000	      7906	      3991
    100000	    670000	      9923	      4266
        10	    680000	      6213	      5711
       100	    680000	      7652	      4160
      1000	    680000	      7910	      4066
     10000	    680000	      5918	      6258
    100000	    680000	      8820	      5396
        10	    690000	      7874	      4155
       100	    690000	      6819	      7278
      1000	    690000	      5555	      4134
     10000	    690000	      5553	      4745
    100000	    690000	      9384	      5433
        10	    700000	      7297	      7311
       100	    700000	      7904	      6948
      1000	    700000	      7437	      6790
     10000	    700000	      6629	      4291
    100000	    700000	      6598	      4154
        10	    710000	      7860	      4461
       100	    710000	      6068	      5320
      1000	    710000	      5717	      4365
     10000	    710000	      8526	      4098
    100000	    710000	      7297	      4934
        10	    720000	      7180	      5381
       100	    720000	      8385	      6063
      1000	    720000	      6547	      4799
     10000	    720000	      6684	      4331
    100000	    720000	      7873	      5332
        10	    730000	      6403	      6199
       100	    730000	      7337	      5327
      1000	    730000	      6575	      4682
     10000	    730000	      6745	      4258
    100000	    730000	     10427	      3314
        10	    740000	      6692	      6450
       100	    740000	      9556	      5996
      1000	    740000	      8637	      6421
     10000	    740000	      6729	      6542
    100000	    740000	     10186	      4921
        10	    750000	      9254	      6356
       100	    750000	      7649	      7629
      1000	    750000	      7606	      7381
     10000	    750000	      8509	      6327
    100000	    750000	      7127	      5637
        10	    760000	      8760	      4552
       100	    760000	      7231	      6228
      1000	    760000	      8920	      4723
     10000	    760000	      7551	      4664
    100000	    760000	      9167	      4095
        10	    770000	      6828	      6860
       100	    770000	      7533	      5259
      1000	    770000	      6379	      4825
     10000	    770000	      7476	      5635
    100000	    770000	     10503	      5154
        10	    780000	      6993	      6087
       100	    780000	      6911	      8029
      1000	    780000	      6699	      4922
     10000	    780000	      6918	      6260
    100000	    780000	      8022	      5173
        10	    790000	      8217	      7994
       100	    790000	      7578	      7535
      1000	    790000	     10013	      5016
     10000	    790000	      7040	      4318
    100000	    790000	     11443	      3367
        10	    800000	      9127	      5136
       100	    800000	      8470	      4940
      1000	    800000	      6442	      4873
     10000	    800000	      8961	      5405
    100000	    800000	      9741	      5712
        10	    810000	      8868	      6747
       100	    810000	      8261	      8119
      1000	    810000	      8756	      4946
     10000	    810000	      7074	      7496
    100000	    810000	      9400	      5933
        10	    820000	      8812	      7277
       100	    820000	      9584	      5096
      1000	    820000	      7141	      5038
     10000	    820000	      9328	      7724
    100000	    820000	      7736	      5639
        10	    830000	      9722	      7519
       100	    830000	      8382	      8274
      1000	    830000	      8673	      6960
     10000	    830000	      8503	      6670
    100000	    830000	     11179	      5577
        10	    840000	      9243	      5126
       100	    840000	      9034	      5174
      1000	    840000	      8361	      8499
     10000	    840000	      8508	      4660
    100000	    840000	     10251	      5485
        10	    850000	      6878	      6518
       100	    850000	      6767	      6902
      1000	    850000	      6746	      7260
     10000	    850000	      9588	      6740
    100000	    850000	     10999	      4099
        10	    860000	      7522	      5316
       100	    860000	      7178	      7977
      1000	    860000	      8759	      5126
     10000	    860000	      8121	      4787
    100000	    860000	      8773	      5937
        10	    870000	      7692	      5543
       100	    870000	      9256	      5500
      1000	    870000	      8825	      5935
     10000	    870000	      9263	      8188
    100000	    870000	      8319	      3817
        10	    880000	      9104	      6450
       100	    880000	      8405	      6100
      1000	    880000	      9126	      7215
     10000	    880000	      9363	      6124
    100000	    880000	     10611	      3782
        10	    890000	      8937	      8372
       100	    890000	      9841	      9111
      1000	    890000	      7557	      7766
     10000	    890000	      8198	      6825
    100000	    890000	      9284	      5051
        10	    900000	      7899	      5667
       100	    900000	      7260	      5547
      1000	    900000	     11568	      6190
     10000	    900000	      8050	      5599
    100000	    900000	     10911	      4447
        10	    910000	      7396	      6047
       100	    910000	      9453	      5604
      1000	    910000	      9021	      7249
     10000	    910000	      8855	      5079
    100000	    910000	      9714	      5101
        10	    920000	      9341	      5781
       100	    920000	      7540	      5577
      1000	    920000	      7501	      6469
     10000	    920000	      8965	      5007
    100000	    920000	     10712	      4595
        10	    930000	      7773	      5759
       100	    930000	      7793	      5662
      1000	    930000	      7736	      6162
     10000	    930000	      9085	      6594
    100000	    930000	     10513	      4549
        10	    940000	      8220	      6204
       100	    940000	      8142	      6269
      1000	    940000	      9782	      6238
     10000	    940000	      7963	      6266
    100000	    940000	     12615	      4003
        10	    950000	      8549	      7148
       100	    950000	      8502	      6269
      1000	    950000	      8601	      7790
     10000	    950000	      8023	      8369
    100000	    950000	      9156	      5139
        10	    960000	      8437	      8474
       100	    960000	      8504	      7805
      1000	    960000	     11535	      8271
     10000	    960000	     10760	      8237
    100000	    960000	     11908	      6163
        10	    970000	     11009	      7770
       100	    970000	     10422	      8321
      1000	    970000	     10538	      6510
     10000	    970000	     10576	      5518
    100000	    970000	     11062	      5437
        10	    980000	     10178	      5916
       100	    980000	      9664	      7764
      1000	    980000	     10147	      5904
     10000	    980000	      8611	      7311
    100000	    980000	     10154	      5945
        10	    990000	     10918	      8451
       100	    990000	     10595	      9721
      1000	    990000	     10959	      7260
     10000	    990000	      9786	      7424
    100000	    990000	     12448	      6917
        10	   1000000	      9301	      6997
       100	   1000000	     10987	      8264
      1000	   1000000	      8860	      8018
     10000	   1000000	     10405	      7814
    100000	   1000000	     12655	      6675
